category,name,description,price,option2,price2,soup_salad,image,alt
hot kitchen,goma chicken ,Deep fried chicken with sesame sauce and 4pcs california roll,13,,,y,,
hot kitchen,chicken katsu,Anko fried chicken with white rice,13,,,y,chicken-katsu.jpg,chicken katsu
hot kitchen,pork katsu,Panko fried pork with white rice,13,,,y,,
hot kitchen,yakiniku kobe beef bowl,"Comes with tempura, 4pcs california roll",14,,,y,,
hot kitchen,bento box teriyaki steak,,14,,,y,,
hot kitchen,bento box teriyaki chicken,,14,,,y,,
hot kitchen,bento box teriyaki salmon,,14,,,y,,
hot kitchen,Sesame Tofu ,,11,,,y,,
hot kitchen,honey shrimp ,,15,,,y,,
sushi bar combinations,Sushi,5pcs assorted fish with a California roll,16,,,y,,
sushi bar combinations,Sashimi,9pcs assorted fish with side of steamed rice,18,,,y,,
sushi bar combinations,Maki Combo Pick 2 Rolls:,"California, vegetable, salmon, avocado, eel, cucumber, tuna, spicy tuna, yellowtail roll",14,,,y,,
sushi bar combinations,Sushi & Sashimi Combo,"4pcs sushi, 6pcs sashimi and 1 california roll",18,,,y,,
sushi bar combinations,Tuna in 3 ways,"3pcs of tuna tataki, 3pcs of tuna nigiri and 1 spicy tuna roll",18,,,y,,
starters,Japanese Egg Roll (2pc),,5,,,,,
starters,Edamame (soy bean),salted,5,spicy garlic,6,,,
starters,Shumai (steamed)(6pc),,6,,,,,
starters,Crab Ragoon (6pcs),,6,,,,,
starters,Gyoza (6pcs),,6,,,,,
starters,Agedashi Tofu,,7,,,,,
starters,Takoyaki (5pcs),,7,,,,,
starters,Tempura,2pcs shrimp and 5pcs vegetables,7,,,,,
starters,Crispy Clamari,,8,,,,,
starters,Baked Mussels (5pcs),,8,,,,,
starters,Hamachi Kama,,12,,,,,
starters,*New Style Sashimi,6pcs assorted fish seared with hot sesame oil,16,,,,,
soup,Clear Soup,small,2.95,large,5.95,,,
soup,Miso Soup,small,2.95,large,5.95,,,
salads,Seaweed Salad,,6,,,,,
salads,Cucumber Salad,,6,,,,,
salads,Avocado Salad,,7,,,,,
salads,Seaweed Salad Deluxe,Assorted seafood mix sith seaweed salad,12,,,,,
salads,Spicy Seafood Salad,"Shrimp, kani, octopus, mix green & spicy mayo sauce",12,,,,,
salads,Taktaki Salad*,"Mix greens with seared tuna, thinly sliced with tataki sauce",13,,,,,
appetizers,Sushi Taco,3pcs,12,,,,,
appetizers,Spicy Crispy Tuna,4pcs,12,,,,,
appetizers,Jalapeno Yellowtail,6pcs,16,,,,,
appetizers,garlic butter tuna tataki,6pcs,16,,,,,
appetizers,Heart Attack,2pcs,13,,,,,
appetizers,Monkey Brain,2pcs,13,,,,,
appetizers,Avocado Salad,,6,,,,,
appetizers,Seaweed Salad,,6,,,,,
appetizers,Dynamite,Seafood mix baked with mushrooms,12,,,,,
appetizers,Rainbow Tartar,,16,,,,,
appetizers,Big Eye Tuna w/ Avocado,6pcs,16,,,,,
appetizers,Albacore Delight with Yuzu Sauce,6pcs,16,,,,,
exotic specialties*,Spicy Crispy Tuna,Tempura sushi rice & spicy tuna,12,,,,,
exotic specialties*,Tuna Tataki,Seared thin tuna with tataki sauce,13,,,,,
tempura dinners,Shrimp Tempura,5pcs shrimp tempura and 8pcs vegetables,17,,,y,,
tempura dinners,Chicken Tempura,5pcs chicken tempura and 8pcs vegetables,17,,,y,,
tempura dinners,seafood Tempura,6pcs assorted seafood tempura & 8pcs vegetables,20,,,y,,
tempura dinners,Vegetarian Tempura,12pcs mixed vegetable tempura,13,,,y,,
authentic japanese dishes,teriyaki tofu,,13,,,,,
authentic japanese dishes,goma chicken,,16,,,,,
authentic japanese dishes,teriyaki chicken,,16,,,,,
authentic japanese dishes,teriyaki steak,,20,,,,,
authentic japanese dishes,teriyaki salmon,,20,,,,,
noodle,chicken yakisoba,"Chicken, vegetabels stir fried with egg noodle",13,,,y,,
noodle,shrimp yakisoba,"Shrimp, vegetables stir fried with egg noodles",15,,,y,,
noodle,tempura udon soup,"3pcs shrimp tempura, 3pcs vegetables tempura",15,,,y,,
noodle,kobe beef udon soup,"Thinly sliced kobe beef, mixed vegetables",16,,,y,,
noodle,seafood udon soup,"Stir fried onion, napa, mushroom & assorted of seafood on top of udon soup",17,,,y,,
noodle,Spicy Seafood udon,Stir fried udon noodles with seafood and mixed vegetables,18,,,y,,
